Restaurant Name,Address,Ratings,Price,Online Order,Phone,Famous Dishes,,,,,Book Table,Cuisines,,Type
SFC,"Y.S.R Cricket Stadium, Pothinamallayya Palem, Visakhapatnam, Andhra Pradesh 530048",4.4,500,YES,8919389465,Ckicken biryani,,,,,YES,,,
Kruthinga,"2nd Floor, Union Bank Building, Junction, Pothinamallayya Palem, Visakhapatnam, Andhra Pradesh 530048",4,650,YES,9441880943,Natukodi curry,,,,,YES,,,
Konaseema,"2-127/18/9, 100 Feet Rd, Mithilapuri Colony, It-sez, Road, Visakhapatnam, Andhra Pradesh 530048",3.5,800,YES,7780253367,Kodi palav,,,,,YES,,,
Cityhert," Chandrampalem, Srinivasa Nagar, Madhurawada, Visakhapatnam, Andhra Pradesh 530041",3.7,460,YES,8991923568,Andhra chicken curry,,,,,NO,,,
Eatsandtreats,"3-13/17/8 Chandrampalem, Srinivasa Nagar, Madhurawada, Visakhapatnam, Andhra Pradesh 530041",3,300,YES,9182212256,Chilly chiken,,,,,NO,,,
Madhuram,"Shop No. 107, Surya Complex PM Palem Main Road, Pothinamallayya Palem Rd, Madhurawada, Visakhapatnam, Andhra Pradesh 530014",4,360,YES,8919389465,Dum birayani,,,,,NO,,,
Teluguruchulu,"Shop No. 110, Surya Complex PM Palem Main Road, Pothinamallayya Palem Rd, Madhurawada, Visakhapatnam, Andhra Pradesh 530014",3.1,560,YES,9441880943,Vegcurries,,,,,NO,,,
Rajuskitchen,"Beside SBI bank,P M Palem, Madhurawada, Visakhapatnam, Andhra Pradesh 530041",3.7,250,YES,7780253367,Kavujupetta fry,,,,,NO,,,
Kukrook,"D.no -13-45 H.B Colony, Pothinamallayya Palem, Visakhapatnam, Andhra Pradesh 530041",3,180,YES,8991923568,Mughlai,,,,,NO,,,
Delicious,"Chandrampalem, Srinivasa Nagar, Madhurawada, Visakhapatnam, Andhra Pradesh 530041",3.2,780,YES,9182212256,Mughlai,,,,,NO,,,
Chikoos," No 18-133/2/11, Ground Floor, 102, 103, Raksha Sri Hari Residency, SBI Colony, Pothinamallayya Palem, Visakhapatnam, Andhra Pradesh 530041",2.7,230,YES,8919389465,Dumbirayani,,,,,NO,,,
Tfc,"11-85, Kommadi Rd, Bakkannapalem, Madhurawada, Visakhapatnam, Andhra Pradesh 530041",4.1,560,YES,9441880943,Fried rice,,,,,NO,,,
Grillseat," NH5 Road, Pothimallayapalem, Near YSR Stadium, Madhurawada, Vizag, Madhurawada",3.5,230,YES,7780253367,Kabab,,,,,NO,,,
Prince dhaba," NH5 Road, Pothimallayapalem, Near YSR Stadium, Madhurawada, Vizag, Madhurawada",2.9,150,YES,8991923568,Tikka,,,,,NO,,,
Nawabs," Kommadi Rd junction , Bakkannapalem, Madhurawada, Visakhapatnam, Andhra Pradesh 530041",2.5,450,YES,9182212256,Noodels,,,,,NO,,,
Kvr,"Main Road, Car Shed junction, NH16, Madhurawada, Visakhapatnam, Andhra Pradesh 530041",4.1,200,YES,8919389465,Chicken fry,,,,,YES,,,
Million cafe," Million cafe, Srinivasa Nagar, Mubarak Colony, Yendada, Vizag, Andhra Pradesh",4,420,YES,8991923568,Fries,,,,,NO,,,
Abhiruchi,"1, Vizag - Srikakulam Hwy, Anand Nagar, Pothinamallayya Palem, Visakhapatnam, Andhra Pradesh 530041",2.9,560,YES,9182212256,Tandoories,,,,,NO,,,
Dwarakamaigumagumalu,"Opposite SBI, Priyadarshini Colony, Srinivasa Nagar, Madhurawada, Visakhapatnam, Andhra Pradesh",1.9,330,YES,8919389465,Sambar,,,,,NO,,,
Zeeshan,"PNB COMPLEX, Service Road, Car Shed, Junction, NH16, Madhurawada, Visakhapatnam, Andhra Pradesh 530041",4.2,700,YES,9441880943,Biryani,,,,,YES,,,
bBarbecue,"3rd Floor, Arena Building, 100 Feet Rd, adjacent to Mango Hero Showroom, Midhilapuri Vuda Colony, Madhurawada, Visakhapatnam, Andhra Pradesh 530041",3.6,900,YES,7780253367,Kebabs,,,,,YES,,,
,,,,,,,,,,,,,,
